titulo,link,data,resumo
"EDITAL N° 013/CAMDP/IFC/2025, de 29 de janeiro de 2025 – Produção Vegetal – […]",https://editais.ifc.edu.br/2025/01/29/edital-n-013-camdp-ifc-2025-de-29-de-janeiro-de-2025-producao-vegetal-araquari/,29/01/2025,"EDITAL N° 013/CAMDP/IFC/2025, de 29 de janeiro de 2025 – Produção Vegetal – […]"
EDITAL N° 081/CAMDP/IFC/2024 de 28/08/2024 – Área do conhecimento: Medicina […],https://editais.ifc.edu.br/2024/08/28/edital-n-081-camdp-ifc-2024-de-28-08-2024-area-do-conhecimento-medicina-veterinaria-cirurgia-araquari/,28/08/2024,EDITAL N° 081/CAMDP/IFC/2024 de 28/08/2024 – Área do conhecimento: Medicina […]
EDITAL Nº 2 / 2024 – MEDVET/ARA: REGULAMENTO DO PROCESSO ELEITORAL PARA A […],https://editais.ifc.edu.br/2024/08/27/edital-no-2-2024-medvet-ara-regulamento-do-processo-eleitoral-para-a-escolha-do-coordenador-do-curso-de-bacharelado-em-medicina-veterinaria-do-instituto-federal-catarinense-campus-araqu/,27/08/2024,Está publicado o regulamento que estabelece o conjunto de normas do processo […]
EDITAL N° 079/CAMDP/IFC/2024 de 12/08/2024 – Área do conhecimento: Informática […],https://editais.ifc.edu.br/2024/08/12/edital-n-079-camdp-ifc-2024-de-12-08-2024-area-do-conhecimento-informatica-banco-de-dados-araquari/,12/08/2024,EDITAL N° 079/CAMDP/IFC/2024 de 12/08/2024 – Área do conhecimento: Informática - Banco […]
EDITAL Nº 3 / 2024 – GAB/ARAQ – Processo eleitoral para a escolha de […],https://editais.ifc.edu.br/2024/08/01/edital-no-3-2024-gab-araq-processo-eleitoral-para-a-escolha-de-coordenador-do-curso-tecnico-em-quimica-integrado-ao-ensino-medio-do-ifc-campus-araquari-para-o-bienio-2024-2026/,01/08/2024,EDITAL Nº 3 / 2024 - GAB/ARAQ - Processo eleitoral para a escolha de Coordenador […]
EDITAL N° 76/CAMDP/IFC/2024 de 26/07/2024 – Área do conhecimento: Química – […],https://editais.ifc.edu.br/2024/07/26/edital-n-76-camdp-ifc-2024-de-26-07-2024-area-do-conhecimento-quimica-araquari/,26/07/2024,EDITAL N° 76/CAMDP/IFC/2024 de 26/07/2024 – Área do conhecimento: Química – […]
EDITAL N° 75/CAMDP/IFC/2024 de 25/07/2024 – Área do conhecimento: Medicina […],https://editais.ifc.edu.br/2024/07/25/edital-n-75-camdp-ifc-2024-de-25-07-2024-area-do-conhecimento-medicina-veterinaria-cirurgia-araquari/,25/07/2024,EDITAL N° 75/CAMDP/IFC/2024 de 25/07/2024 – Área do conhecimento: Medicina Veterinária […]
EDITAL nº 1/2024 – Estágio Obrigatório – Coordenação Curso Bacharelado em […],https://editais.ifc.edu.br/2024/07/16/edital-no-1-2024-estagio-obrigatorio-coordenacao-curso-bacharelado-em-medicina-veterinaria-ifc-campus-araquari/,16/07/2024,EDITAL nº 1/2024 – Coordenação Curso Bacharelado em Medicina Veterinária- IFC Campus […]
EDITAL N° 73/CAMDP/IFC/2024 de 09/07/2024 – Área do conhecimento: Informática: […],https://editais.ifc.edu.br/2024/07/09/edital-n-73-camdp-ifc-2024-de-09-07-2024-area-do-conhecimento-informatica-banco-de-dados-araquari/,09/07/2024,EDITAL N° 73/CAMDP/IFC/2024 de 09/07/2024 – Área do conhecimento: Informática: Banco […]
EDITAL N° 70/CAMDP/IFC/2024 de 03/07/2024 – Área do conhecimento: Matemática […],https://editais.ifc.edu.br/2024/07/03/edital-n-70-camdp-ifc-2024-de-03-07-2024-area-do-conhecimento-matematica-40h-araquari/,03/07/2024,EDITAL N° 70/CAMDP/IFC/2024 de 03/07/2024 – Área do conhecimento: Matemática – 40h […]
